tag	i	q	k	actual
uniform	36	0.000365	1.459	1
uniform	37	0.000375	1.499	1
uniform	38	0.000385	1.539	1
uniform	39	0.000395	1.579	1
uniform	40	0.000405	1.619	1
uniform	41	0.000415	1.659	1
uniform	42	0.000425	1.699	1
uniform	43	0.000435	1.739	1
uniform	44	0.000445	1.779	1
uniform	45	0.000455	1.819	1
uniform	46	0.000465	1.859	1
uniform	47	0.000475	1.899	1
uniform	48	0.000485	1.939	1
uniform	49	0.000495	1.979	1
uniform	50	0.000505	2.019	1
uniform	51	0.000515	2.059	1
uniform	52	0.000525	2.099	1
uniform	53	0.000535	2.139	1
uniform	54	0.000545	2.179	1
uniform	55	0.000560	2.239	2
uniform	56	0.000580	2.319	2
uniform	57	0.000595	2.379	1
uniform	58	0.000610	2.439	2
uniform	59	0.000625	2.498	1
uniform	60	0.000635	2.538	1
uniform	61	0.000645	2.578	1
uniform	62	0.000660	2.638	2
uniform	63	0.000680	2.718	2
uniform	64	0.000700	2.798	2
uniform	65	0.000720	2.878	2
uniform	66	0.000735	2.938	1
uniform	67	0.000745	2.978	1
uniform	68	0.000755	3.018	1
uniform	69	0.000765	3.058	1
uniform	70	0.000775	3.098	1
uniform	71	0.000785	3.138	1
uniform	72	0.000800	3.197	2
uniform	73	0.000815	3.257	1
uniform	74	0.000825	3.297	1
uniform	75	0.000840	3.357	2
uniform	76	0.000855	3.417	1
uniform	77	0.000865	3.457	1
uniform	78	0.000875	3.497	1
uniform	79	0.000885	3.537	1
uniform	80	0.000900	3.597	2
uniform	81	0.000920	3.677	2
uniform	82	0.000940	3.756	2
uniform	83	0.000965	3.856	3
uniform	84	0.000990	3.956	2
uniform	85	0.001020	4.076	4
uniform	86	0.001045	4.176	1
uniform	87	0.001055	4.216	1
uniform	88	0.001070	4.275	2
uniform	89	0.001095	4.375	3
uniform	90	0.001120	4.475	2
uniform	91	0.001145	4.575	3
uniform	92	0.001165	4.655	1
uniform	93	0.001180	4.714	2
uniform	94	0.001205	4.814	3
uniform	95	0.001225	4.894	1
uniform	96	0.001240	4.954	2
uniform	97	0.001255	5.014	1
uniform	98	0.001275	5.093	3
uniform	99	0.001310	5.233	4
uniform	100	0.001345	5.373	3
uniform	101	0.001370	5.472	2
uniform	102	0.001395	5.572	3
uniform	103	0.001430	5.712	4
uniform	104	0.001455	5.812	1
uniform	105	0.001475	5.891	3
uniform	106	0.001505	6.011	3
uniform	107	0.001525	6.091	1
uniform	108	0.001555	6.210	5
uniform	109	0.001600	6.390	4
uniform	110	0.001625	6.489	1
uniform	111	0.001655	6.609	5
uniform	112	0.001700	6.788	4
uniform	113	0.001735	6.928	3
uniform	114	0.001770	7.067	4
uniform	115	0.001810	7.227	4
uniform	116	0.001855	7.406	5
uniform	117	0.001905	7.605	5
uniform	118	0.001945	7.765	3
uniform	119	0.001965	7.845	1
uniform	120	0.002005	8.004	7
uniform	121	0.002070	8.263	6
uniform	122	0.002110	8.422	2
uniform	123	0.002135	8.522	3
uniform	124	0.002170	8.661	4
uniform	125	0.002215	8.840	5
uniform	126	0.002250	8.980	2
uniform	127	0.002300	9.179	8
uniform	128	0.002365	9.438	5
uniform	129	0.002435	9.716	9
uniform	130	0.002505	9.995	5
uniform	131	0.002550	10.174	4
uniform	132	0.002610	10.413	8
uniform	133	0.002695	10.751	9
uniform	134	0.002775	11.069	7
uniform	135	0.002840	11.328	6
uniform	136	0.002905	11.586	7
uniform	137	0.002960	11.805	4
uniform	138	0.002995	11.944	3
uniform	139	0.003035	12.103	5
uniform	140	0.003095	12.342	7
uniform	141	0.003150	12.560	4
uniform	142	0.003210	12.799	8
uniform	143	0.003285	13.097	7
uniform	144	0.003340	13.315	4
uniform	145	0.003390	13.514	6
uniform	146	0.003455	13.772	7
uniform	147	0.003525	14.050	7
uniform	148	0.003600	14.348	8
uniform	149	0.003705	14.765	13
uniform	150	0.003800	15.142	6
uniform	151	0.003850	15.341	4
uniform	152	0.003905	15.559	7
uniform	153	0.003980	15.857	8
uniform	154	0.004080	16.253	12
uniform	155	0.004205	16.749	13
uniform	156	0.004310	17.166	8
uniform	157	0.004390	17.483	8
uniform	158	0.004460	17.760	6
uniform	159	0.004520	17.998	6
uniform	160	0.004595	18.296	9
uniform	161	0.004695	18.692	11
uniform	162	0.004770	18.989	4
uniform	163	0.004845	19.286	11
uniform	164	0.004940	19.662	8
uniform	165	0.005015	19.959	7
uniform	166	0.005125	20.395	15
uniform	167	0.005250	20.890	10
uniform	168	0.005330	21.206	6
uniform	169	0.005400	21.483	8
uniform	170	0.005470	21.760	6
uniform	171	0.005555	22.097	11
uniform	172	0.005655	22.492	9
uniform	173	0.005755	22.888	11
uniform	174	0.005875	23.362	13
uniform	175	0.006005	23.876	13
uniform	176	0.006175	24.547	21
uniform	177	0.006350	25.239	14
uniform	178	0.006460	25.673	8
uniform	179	0.006595	26.206	19
uniform	180	0.006750	26.818	12
uniform	181	0.006910	27.449	20
uniform	182	0.007075	28.100	13
uniform	183	0.007210	28.632	14
uniform	184	0.007350	29.184	14
uniform	185	0.007495	29.755	15
uniform	186	0.007625	30.267	11
uniform	187	0.007785	30.898	21
uniform	188	0.007960	31.587	14
uniform	189	0.008155	32.354	25
uniform	190	0.008380	33.239	20
uniform	191	0.008625	34.202	29
uniform	192	0.008830	35.008	12
uniform	193	0.008930	35.401	8
uniform	194	0.009065	35.931	19
uniform	195	0.009250	36.658	18
uniform	196	0.009440	37.404	20
uniform	197	0.009650	38.228	22
uniform	198	0.009845	38.992	17
uniform	199	0.010045	39.776	23
uniform	200	0.010300	40.776	28
uniform	201	0.010495	41.539	11
uniform	202	0.010630	42.068	16
uniform	203	0.010815	42.792	21
uniform	204	0.011030	43.633	22
uniform	205	0.011275	44.591	27
uniform	206	0.011515	45.530	21
uniform	207	0.011710	46.292	18
uniform	208	0.011965	47.287	33
uniform	209	0.012265	48.458	27
uniform	210	0.012630	49.882	46
uniform	211	0.013015	51.382	31
uniform	212	0.013335	52.629	33
uniform	213	0.013755	54.263	51
uniform	214	0.014115	55.663	21
uniform	215	0.014335	56.518	23
uniform	216	0.014610	57.586	32
uniform	217	0.014890	58.673	24
uniform	218	0.015230	59.992	44
uniform	219	0.015595	61.407	29
uniform	220	0.015975	62.879	47
uniform	221	0.016355	64.350	29
uniform	222	0.016705	65.704	41
uniform	223	0.017105	67.250	39
uniform	224	0.017495	68.756	39
uniform	225	0.017805	69.952	23
uniform	226	0.018110	71.128	38
uniform	227	0.018605	73.035	61
uniform	228	0.019110	74.979	40
uniform	229	0.019525	76.575	43
uniform	230	0.019905	78.035	33
uniform	231	0.020330	79.667	52
uniform	232	0.020800	81.469	42
uniform	233	0.021280	83.309	54
uniform	234	0.021710	84.955	32
uniform	235	0.022125	86.542	51
uniform	236	0.022655	88.567	55
uniform	237	0.023135	90.399	41
uniform	238	0.023640	92.325	60
uniform	239	0.024290	94.800	70
uniform	240	0.024840	96.892	40
uniform	241	0.025260	98.488	44
uniform	242	0.025630	99.892	30
uniform	243	0.025965	101.163	37
uniform	244	0.026275	102.338	25
uniform	245	0.026590	103.532	38
uniform	246	0.026910	104.743	26
uniform	247	0.027455	106.805	83
uniform	248	0.028125	109.336	51
uniform	249	0.028690	111.468	62
uniform	250	0.029355	113.973	71
uniform	251	0.030250	117.340	108
uniform	252	0.031125	120.625	67
uniform	253	0.031835	123.286	75
uniform	254	0.032555	125.981	69
uniform	255	0.033185	128.335	57
uniform	256	0.033965	131.246	99
uniform	257	0.034775	134.263	63
uniform	258	0.035310	136.253	44
uniform	259	0.035765	137.943	47
uniform	260	0.036345	140.096	69
uniform	261	0.037145	143.061	91
uniform	262	0.037965	146.095	73
uniform	263	0.038995	149.898	133
uniform	264	0.040085	153.913	85
uniform	265	0.040885	156.854	75
uniform	266	0.041750	160.028	98
uniform	267	0.042580	163.068	68
uniform	268	0.043510	166.468	118
uniform	269	0.044535	170.207	87
uniform	270	0.045585	174.028	123
uniform	271	0.046735	178.203	107
uniform	272	0.048125	183.236	171
uniform	273	0.049535	188.325	111
uniform	274	0.050490	191.763	80
uniform	275	0.051310	194.709	84
uniform	276	0.052275	198.169	109
uniform	277	0.053220	201.551	80
uniform	278	0.054140	204.835	104
uniform	279	0.055195	208.594	107
uniform	280	0.056565	213.462	167
uniform	281	0.057985	218.491	117
uniform	282	0.059090	222.393	104
uniform	283	0.060090	225.917	96
uniform	284	0.061060	229.327	98
uniform	285	0.062230	233.430	136
uniform	286	0.063625	238.307	143
uniform	287	0.065205	243.813	173
uniform	288	0.066820	249.420	150
uniform	289	0.068405	254.903	167
uniform	290	0.070090	260.710	170
uniform	291	0.071510	265.585	114
uniform	292	0.072645	269.471	113
uniform	293	0.073645	272.886	87
uniform	294	0.074790	276.786	142
uniform	295	0.076295	281.896	159
uniform	296	0.077985	287.613	179
uniform	297	0.079605	293.072	145
uniform	298	0.081190	298.393	172
uniform	299	0.082690	303.409	128
uniform	300	0.083975	307.693	129
uniform	301	0.085255	311.946	127
uniform	302	0.086465	315.955	115
uniform	303	0.087670	319.936	126
uniform	304	0.088830	323.757	106
uniform	305	0.089785	326.895	85
uniform	306	0.090440	329.042	46
uniform	307	0.091005	330.892	67
uniform	308	0.092040	334.275	140
uniform	309	0.093510	339.064	154
uniform	310	0.095085	344.175	161
uniform	311	0.096940	350.171	210
uniform	312	0.098870	356.379	176
uniform	313	0.100410	361.311	132
uniform	314	0.101495	364.775	85
uniform	315	0.102315	367.387	79
uniform	316	0.103185	370.151	95
uniform	317	0.105015	375.947	271
uniform	318	0.107765	384.607	279
uniform	319	0.110000	391.600	168
uniform	320	0.112155	398.305	263
uniform	321	0.115315	408.070	369
uniform	322	0.117950	416.151	158
uniform	323	0.119700	421.488	192
uniform	324	0.121520	427.012	172
uniform	325	0.124345	435.533	393
uniform	326	0.127695	445.556	277
uniform	327	0.130435	453.687	271
uniform	328	0.133320	462.183	306
uniform	329	0.135745	469.273	179
uniform	330	0.137480	474.317	168
uniform	331	0.139055	478.875	147
uniform	332	0.140770	483.815	196
uniform	333	0.142645	489.190	179
uniform	334	0.144540	494.593	200
uniform	335	0.146540	500.264	200
uniform	336	0.148565	505.974	205
uniform	337	0.150925	512.587	267
uniform	338	0.153825	520.651	313
uniform	339	0.157550	530.912	432
uniform	340	0.161610	541.969	380
uniform	341	0.164620	550.081	222
uniform	342	0.166895	556.164	233
uniform	343	0.169450	562.947	278
uniform	344	0.172420	570.765	316
uniform	345	0.176075	580.290	415
uniform	346	0.180235	591.001	417
uniform	347	0.184365	601.498	409
uniform	348	0.188160	611.023	350
uniform	349	0.191645	619.669	347
uniform	350	0.195110	628.168	346
uniform	351	0.198270	635.836	286
uniform	352	0.200865	642.073	233
uniform	353	0.204195	649.998	433
uniform	354	0.208395	659.866	407
uniform	355	0.212005	668.236	315
uniform	356	0.214900	674.872	264
uniform	357	0.218040	681.994	364
uniform	358	0.221745	690.297	377
uniform	359	0.225580	698.775	390
uniform	360	0.229155	706.572	325
uniform	361	0.233160	715.186	476
uniform	362	0.238385	726.230	569
uniform	363	0.242380	734.528	230
uniform	364	0.246190	742.322	532
uniform	365	0.250710	751.418	372
uniform	366	0.254540	758.998	394
uniform	367	0.258425	766.566	383
uniform	368	0.262350	774.090	402
uniform	369	0.266425	781.771	413
uniform	370	0.270705	789.695	443
uniform	371	0.275045	797.581	425
uniform	372	0.278830	804.335	332
uniform	373	0.283520	812.546	606
uniform	374	0.288315	820.758	353
uniform	375	0.291865	826.719	357
uniform	376	0.294925	831.777	255
uniform	377	0.297205	835.497	201
uniform	378	0.299885	839.816	335
uniform	379	0.303420	845.425	372
uniform	380	0.307880	852.360	520
uniform	381	0.313550	860.946	614
uniform	382	0.319650	869.896	606
uniform	383	0.324080	876.209	280
uniform	384	0.328720	882.653	648
uniform	385	0.333805	889.517	369
uniform	386	0.339580	897.062	786
uniform	387	0.345635	904.686	425
uniform	388	0.349665	909.598	381
uniform	389	0.353425	914.063	371
uniform	390	0.358280	919.662	600
uniform	391	0.362505	924.380	245
uniform	392	0.366240	928.433	502
uniform	393	0.370865	933.297	423
uniform	394	0.375565	938.064	517
uniform	395	0.380385	942.769	447
uniform	396	0.384420	946.565	360
uniform	397	0.389140	950.840	584
uniform	398	0.395605	956.407	709
uniform	399	0.401460	961.159	462
uniform	400	0.406255	964.847	497
uniform	401	0.411270	968.508	506
uniform	402	0.416045	971.806	449
uniform	403	0.420455	974.690	433
uniform	404	0.426585	978.441	793
uniform	405	0.433400	982.258	570
uniform	406	0.440515	985.846	853
uniform	407	0.447965	989.169	637
uniform	408	0.452785	991.083	327
uniform	409	0.456095	992.289	335
uniform	410	0.461270	994.000	700
uniform	411	0.469360	996.245	918
uniform	412	0.476745	997.837	559
uniform	413	0.484165	998.997	925
uniform	414	0.493370	999.824	916
uniform	415	0.500315	1000.000	473
uniform	416	0.504795	999.908	423
uniform	417	0.508890	999.684	396
uniform	418	0.512630	999.362	352
uniform	419	0.515560	999.032	234
uniform	420	0.519515	998.477	557
uniform	421	0.526130	997.269	766
uniform	422	0.531770	995.963	362
uniform	423	0.535375	994.994	359
uniform	424	0.538440	994.089	254
uniform	425	0.542380	992.816	534
uniform	426	0.547320	991.043	454
uniform	427	0.552340	989.042	550
uniform	428	0.558540	986.292	690
uniform	429	0.565400	982.891	682
uniform	430	0.571955	979.290	629
uniform	431	0.578595	975.291	699
uniform	432	0.585105	971.029	603
uniform	433	0.590590	967.174	494
uniform	434	0.595280	963.687	444
uniform	435	0.599935	960.052	487
uniform	436	0.604940	955.950	514
uniform	437	0.610470	951.186	592
uniform	438	0.616665	945.557	647
uniform	439	0.622675	939.803	555
uniform	440	0.627525	934.949	415
uniform	441	0.631455	930.878	371
uniform	442	0.635285	926.792	395
uniform	443	0.639525	922.131	453
uniform	444	0.643965	917.096	435
uniform	445	0.648775	911.464	527
uniform	446	0.653410	905.861	400
uniform	447	0.658805	899.124	679
uniform	448	0.664150	892.219	390
uniform	449	0.668100	886.970	400
uniform	450	0.673665	879.362	713
uniform	451	0.679040	871.779	362
uniform	452	0.683215	865.729	473
uniform	453	0.688640	857.660	612
uniform	454	0.693900	849.611	440
uniform	455	0.698055	843.097	391
uniform	456	0.701695	837.277	337
uniform	457	0.705290	831.424	382
uniform	458	0.708915	825.418	343
uniform	459	0.713355	817.919	545
uniform	460	0.717465	810.836	277
uniform	461	0.722265	802.393	683
uniform	462	0.728545	791.069	573
uniform	463	0.733225	782.424	363
uniform	464	0.736580	776.120	308
uniform	465	0.739590	770.387	294
uniform	466	0.743010	763.785	390
uniform	467	0.746680	756.596	344
uniform	468	0.750190	749.620	358
uniform	469	0.754000	741.936	404
uniform	470	0.758060	733.620	408
uniform	471	0.762410	724.564	462
uniform	472	0.766710	715.463	398
uniform	473	0.770605	707.092	381
uniform	474	0.774860	697.808	470
uniform	475	0.778345	690.096	227
uniform	476	0.780905	684.370	285
uniform	477	0.784270	676.762	388
uniform	478	0.787960	668.316	350
uniform	479	0.791195	660.822	297
uniform	480	0.794170	653.856	298
uniform	481	0.797055	647.033	279
uniform	482	0.800005	639.988	311
uniform	483	0.803720	631.017	432
uniform	484	0.807280	622.316	280
uniform	485	0.810240	615.005	312
uniform	486	0.812975	608.187	235
uniform	487	0.814940	603.251	158
uniform	488	0.816655	598.918	185
uniform	489	0.818285	594.779	141
uniform	490	0.819995	590.413	201
uniform	491	0.822260	584.594	252
uniform	492	0.824775	578.085	251
uniform	493	0.827605	570.700	315
uniform	494	0.830655	562.669	295
uniform	495	0.833885	554.083	351
uniform	496	0.836295	547.623	131
uniform	497	0.837725	543.767	155
uniform	498	0.839305	539.488	161
uniform	499	0.841860	532.527	350
uniform	500	0.844905	524.162	259
uniform	501	0.847460	517.086	252
uniform	502	0.849865	510.378	229
uniform	503	0.852015	504.342	201
uniform	504	0.854850	496.326	366
uniform	505	0.858070	487.144	278
uniform	506	0.860710	479.553	250
uniform	507	0.863175	472.416	243
uniform	508	0.866420	462.946	406
uniform	509	0.870090	452.134	328
uniform	510	0.872920	443.723	238
uniform	511	0.875095	437.215	197
uniform	512	0.876855	431.921	155
uniform	513	0.878820	425.982	238
uniform	514	0.880655	420.407	129
uniform	515	0.882040	416.182	148
uniform	516	0.883670	411.189	178
uniform	517	0.885305	406.160	149
uniform	518	0.886970	401.017	184
uniform	519	0.889105	394.389	243
uniform	520	0.891655	386.425	267
uniform	521	0.894115	378.693	225
uniform	522	0.896135	372.308	179
uniform	523	0.897785	367.068	151
uniform	524	0.899180	362.621	128
uniform	525	0.900470	358.495	130
uniform	526	0.901715	354.500	119
uniform	527	0.902845	350.864	107
uniform	528	0.903865	347.572	97
uniform	529	0.904960	344.030	122
uniform	530	0.906355	339.502	157
uniform	531	0.908430	332.740	258
uniform	532	0.910200	326.944	96
uniform	533	0.911335	323.214	131
uniform	534	0.912745	318.566	151
uniform	535	0.914255	313.571	151
uniform	536	0.915705	308.757	139
uniform	537	0.917140	303.977	148
uniform	538	0.918730	298.661	170
uniform	539	0.920395	293.072	163
uniform	540	0.922020	287.596	162
uniform	541	0.923895	281.252	213
uniform	542	0.925415	276.088	91
uniform	543	0.926440	272.596	114
uniform	544	0.927535	268.855	105
uniform	545	0.928445	265.740	77
uniform	546	0.929730	261.329	180
uniform	547	0.931215	256.214	117
uniform	548	0.932680	251.152	176
uniform	549	0.934385	245.239	165
uniform	550	0.935625	240.923	83
uniform	551	0.936545	237.714	101
uniform	552	0.937645	233.867	119
uniform	553	0.938855	229.625	123
uniform	554	0.939905	225.934	87
uniform	555	0.940750	222.958	82
uniform	556	0.941475	220.399	63
uniform	557	0.942210	217.801	84
uniform	558	0.942985	215.057	71
uniform	559	0.943765	212.290	85
uniform	560	0.944625	209.234	87
uniform	561	0.945425	206.386	73
uniform	562	0.946705	201.819	183
uniform	563	0.948580	195.104	192
uniform	564	0.950260	189.064	144
uniform	565	0.951290	185.349	62
uniform	566	0.952285	181.753	137
uniform	567	0.953430	177.605	92
uniform	568	0.954300	174.446	82
uniform	569	0.955295	170.826	117
uniform	570	0.956530	166.321	130
uniform	571	0.957855	161.475	135
uniform	572	0.958895	157.662	73
uniform	573	0.959670	154.814	82
uniform	574	0.960610	151.354	106
uniform	575	0.961545	147.905	81
uniform	576	0.962445	144.578	99
uniform	577	0.963370	141.153	86
uniform	578	0.964180	138.148	76
uniform	579	0.964850	135.658	58
uniform	580	0.965485	133.295	69
uniform	581	0.966430	129.772	120
uniform	582	0.967220	126.822	38
uniform	583	0.967620	125.326	42
uniform	584	0.968195	123.174	73
uniform	585	0.968955	120.325	79
uniform	586	0.969675	117.622	65
uniform	587	0.970315	115.215	63
uniform	588	0.970895	113.032	53
uniform	589	0.971420	111.053	52
uniform	590	0.971975	108.958	59
uniform	591	0.972585	106.654	63
uniform	592	0.973045	104.914	29
uniform	593	0.973320	103.873	26
uniform	594	0.973775	102.149	65
uniform	595	0.974505	99.380	81
uniform	596	0.975175	96.835	53
uniform	597	0.975670	94.952	46
uniform	598	0.976155	93.106	51
uniform	599	0.976770	90.761	72
uniform	600	0.977405	88.338	55
uniform	601	0.977980	86.140	60
uniform	602	0.978410	84.495	26
uniform	603	0.978685	83.443	29
uniform	604	0.978975	82.332	29
uniform	605	0.979290	81.124	34
uniform	606	0.979525	80.223	13
uniform	607	0.979685	79.609	19
uniform	608	0.979890	78.822	22
uniform	609	0.980100	78.016	20
uniform	610	0.980390	76.902	38
uniform	611	0.980695	75.729	23
uniform	612	0.980940	74.787	26
uniform	613	0.981175	73.882	21
uniform	614	0.981440	72.862	32
uniform	615	0.981780	71.552	36
uniform	616	0.982160	70.087	40
uniform	617	0.982570	68.505	42
uniform	618	0.982880	67.308	20
uniform	619	0.983110	66.419	26
uniform	620	0.983405	65.278	33
uniform	621	0.983695	64.157	25
uniform	622	0.983950	63.170	26
uniform	623	0.984150	62.395	14
uniform	624	0.984360	61.582	28
uniform	625	0.984720	60.186	44
uniform	626	0.985065	58.848	25
uniform	627	0.985385	57.606	39
uniform	628	0.985745	56.207	33
uniform	629	0.986105	54.808	39
uniform	630	0.986360	53.816	12
uniform	631	0.986530	53.154	22
uniform	632	0.986710	52.454	14
uniform	633	0.986925	51.616	29
uniform	634	0.987165	50.681	19
uniform	635	0.987380	49.843	24
uniform	636	0.987705	48.575	41
uniform	637	0.988030	47.307	24
uniform	638	0.988300	46.252	30
uniform	639	0.988605	45.061	31
uniform	640	0.988860	44.064	20
uniform	641	0.989105	43.105	29
uniform	642	0.989315	42.283	13
uniform	643	0.989535	41.422	31
uniform	644	0.989750	40.580	12
uniform	645	0.989955	39.776	29
uniform	646	0.990235	38.679	27
uniform	647	0.990440	37.874	14
uniform	648	0.990585	37.305	15
uniform	649	0.990745	36.677	17
uniform	650	0.990950	35.872	24
uniform	651	0.991170	35.008	20
uniform	652	0.991350	34.301	16
uniform	653	0.991550	33.514	24
uniform	654	0.991750	32.728	16
uniform	655	0.991865	32.275	7
uniform	656	0.991955	31.921	11
uniform	657	0.992105	31.331	19
uniform	658	0.992295	30.583	19
uniform	659	0.992500	29.775	22
uniform	660	0.992710	28.947	20
uniform	661	0.992880	28.277	14
uniform	662	0.993010	27.765	12
uniform	663	0.993125	27.311	11
uniform	664	0.993280	26.699	20
uniform	665	0.993450	26.028	14
uniform	666	0.993595	25.456	15
uniform	667	0.993725	24.942	11
uniform	668	0.993835	24.508	11
uniform	669	0.993930	24.133	8
uniform	670	0.994025	23.757	11
uniform	671	0.994130	23.342	10
uniform	672	0.994205	23.046	5
uniform	673	0.994255	22.848	5
uniform	674	0.994330	22.551	10
uniform	675	0.994440	22.116	12
uniform	676	0.994550	21.681	10
uniform	677	0.994645	21.305	9
uniform	678	0.994725	20.989	7
uniform	679	0.994810	20.652	10
uniform	680	0.994935	20.157	15
uniform	681	0.995055	19.682	9
uniform	682	0.995150	19.306	10
uniform	683	0.995250	18.910	10
uniform	684	0.995335	18.573	7
uniform	685	0.995415	18.256	9
uniform	686	0.995510	17.879	10
uniform	687	0.995625	17.423	13
uniform	688	0.995735	16.987	9
uniform	689	0.995845	16.551	13
uniform	690	0.995945	16.154	7
uniform	691	0.996010	15.896	6
uniform	692	0.996105	15.519	13
uniform	693	0.996225	15.043	11
uniform	694	0.996305	14.725	5
uniform	695	0.996390	14.388	12
uniform	696	0.996475	14.050	5
uniform	697	0.996550	13.752	10
uniform	698	0.996630	13.435	6
uniform	699	0.996680	13.236	4
uniform	700	0.996730	13.037	6
uniform	701	0.996765	12.898	1
uniform	702	0.996805	12.739	7
uniform	703	0.996860	12.521	4
uniform	704	0.996915	12.302	7
uniform	705	0.996990	12.004	8
uniform	706	0.997060	11.725	6
uniform	707	0.997140	11.407	10
uniform	708	0.997225	11.069	7
uniform	709	0.997275	10.870	3
uniform	710	0.997320	10.691	6
uniform	711	0.997375	10.472	5
uniform	712	0.997440	10.214	8
uniform	713	0.997515	9.915	7
uniform	714	0.997565	9.716	3
uniform	715	0.997590	9.617	2
uniform	716	0.997625	9.477	5
uniform	717	0.997685	9.239	7
uniform	718	0.997755	8.960	7
uniform	719	0.997800	8.781	2
uniform	720	0.997830	8.661	4
uniform	721	0.997870	8.502	4
uniform	722	0.997910	8.343	4
uniform	723	0.997950	8.183	4
uniform	724	0.997980	8.064	2
uniform	725	0.998010	7.944	4
uniform	726	0.998055	7.765	5
uniform	727	0.998095	7.605	3
uniform	728	0.998140	7.426	6
uniform	729	0.998180	7.267	2
uniform	730	0.998200	7.187	2
uniform	731	0.998225	7.087	3
uniform	732	0.998270	6.908	6
uniform	733	0.998320	6.709	4
uniform	734	0.998355	6.569	3
uniform	735	0.998380	6.470	2
uniform	736	0.998400	6.390	2
uniform	737	0.998425	6.290	3
uniform	738	0.998455	6.170	3
uniform	739	0.998475	6.091	1
uniform	740	0.998495	6.011	3
uniform	741	0.998525	5.891	3
uniform	742	0.998555	5.772	3
uniform	743	0.998585	5.652	3
uniform	744	0.998615	5.532	3
uniform	745	0.998635	5.453	1
uniform	746	0.998645	5.413	1
uniform	747	0.998660	5.353	2
uniform	748	0.998680	5.273	2
uniform	749	0.998695	5.213	1
uniform	750	0.998710	5.153	2
uniform	751	0.998735	5.054	3
uniform	752	0.998755	4.974	1
uniform	753	0.998775	4.894	3
uniform	754	0.998800	4.794	2
uniform	755	0.998825	4.694	3
uniform	756	0.998850	4.595	2
uniform	757	0.998875	4.495	3
uniform	758	0.998900	4.395	2
uniform	759	0.998925	4.295	3
uniform	760	0.998950	4.196	2
uniform	761	0.998970	4.116	2
uniform	762	0.998990	4.036	2
uniform	763	0.999010	3.956	2
uniform	764	0.999030	3.876	2
uniform	765	0.999045	3.816	1
uniform	766	0.999060	3.756	2
uniform	767	0.999085	3.657	3
uniform	768	0.999105	3.577	1
uniform	769	0.999125	3.497	3
uniform	770	0.999150	3.397	2
uniform	771	0.999165	3.337	1
uniform	772	0.999180	3.277	2
uniform	773	0.999200	3.197	2
uniform	774	0.999215	3.138	1
uniform	775	0.999230	3.078	2
uniform	776	0.999250	2.998	2
uniform	777	0.999270	2.918	2
uniform	778	0.999290	2.838	2
uniform	779	0.999305	2.778	1
uniform	780	0.999315	2.738	1
uniform	781	0.999325	2.698	1
uniform	782	0.999340	2.638	2
uniform	783	0.999355	2.578	1
uniform	784	0.999370	2.518	2
uniform	785	0.999385	2.458	1
uniform	786	0.999395	2.419	1
uniform	787	0.999405	2.379	1
uniform	788	0.999415	2.339	1
uniform	789	0.999425	2.299	1
uniform	790	0.999435	2.259	1
uniform	791	0.999445	2.219	1
uniform	792	0.999455	2.179	1
uniform	793	0.999465	2.139	1
uniform	794	0.999475	2.099	1
uniform	795	0.999485	2.059	1
uniform	796	0.999495	2.019	1
uniform	797	0.999505	1.979	1
uniform	798	0.999515	1.939	1
uniform	799	0.999525	1.899	1
uniform	800	0.999535	1.859	1
uniform	801	0.999545	1.819	1
uniform	802	0.999555	1.779	1
uniform	803	0.999565	1.739	1
uniform	804	0.999575	1.699	1
uniform	805	0.999585	1.659	1
uniform	806	0.999595	1.619	1
uniform	807	0.999605	1.579	1
uniform	808	0.999615	1.539	1
uniform	809	0.999625	1.499	1
uniform	810	0.999635	1.459	1
uniform	811	0.999645	1.419	1
uniform	812	0.999655	1.380	1
uniform	813	0.999665	1.340	1
uniform	814	0.999675	1.300	1
uniform	815	0.999685	1.260	1
uniform	816	0.999695	1.220	1
uniform	817	0.999705	1.180	1
uniform	818	0.999715	1.140	1
uniform	819	0.999725	1.100	1
uniform	820	0.999735	1.060	1
uniform	821	0.999745	1.020	1
uniform	822	0.999755	0.980	1
uniform	823	0.999765	0.940	1
uniform	824	0.999775	0.900	1
uniform	825	0.999785	0.860	1
uniform	826	0.999795	0.820	1
uniform	827	0.999805	0.780	1
uniform	828	0.999815	0.740	1
uniform	829	0.999825	0.700	1
uniform	830	0.999835	0.660	1
uniform	831	0.999845	0.620	1
uniform	832	0.999855	0.580	1
uniform	833	0.999865	0.540	1
uniform	834	0.999875	0.500	1
uniform	835	0.999885	0.460	1
uniform	836	0.999895	0.420	1
uniform	837	0.999905	0.380	1
uniform	838	0.999915	0.340	1
uniform	839	0.999925	0.300	1
uniform	840	0.999935	0.260	1
uniform	841	0.999945	0.220	1
uniform	842	0.999955	0.180	1
uniform	843	0.999965	0.140	1
uniform	844	0.999975	0.100	1
uniform	845	0.999985	0.060	1
uniform	846	0.999995	0.020	1
mixture	0	0.000005	0.020	1
mixture	1	0.000015	0.060	1
mixture	2	0.000025	0.100	1
mixture	3	0.000035	0.140	1
mixture	4	0.000045	0.180	1
mixture	5	0.000055	0.220	1
mixture	6	0.000065	0.260	1
mixture	7	0.000075	0.300	1
mixture	8	0.000085	0.340	1
mixture	9	0.000095	0.380	1
mixture	10	0.000105	0.420	1
